match_id,game_id,player,team_id,2k,3k,4k,5k,1v1,1v2,1v3,1v4,1v5,econ_rating,plant,defuse,event_name
542207,233430,skuba,1034,2,2,1,0,1,0,0,0,0,45,1,0,Group Stage:  Opening (C)
542207,233430,Ethan,1034,4,1,0,0,0,0,0,0,0,49,2,0,Group Stage:  Opening (C)
542207,233430,nobody,1120,3,1,0,0,0,0,0,0,0,43,5,1,Group Stage:  Opening (C)
542207,233430,ZmjjKK,1120,4,2,0,0,0,0,0,0,0,44,1,0,Group Stage:  Opening (C)
542207,233430,Smoggy,1120,4,3,0,0,0,1,1,0,0,44,1,1,Group Stage:  Opening (C)
542207,233430,CHICHOO,1120,5,0,0,0,0,0,0,0,0,41,5,0,Group Stage:  Opening (C)
542207,233430,Jieni7,1120,4,3,0,0,0,0,0,0,0,36,1,1,Group Stage:  Opening (C)
542207,233431,brawk,1034,1,1,0,0,0,0,0,0,0,47,5,0,Group Stage:  Opening (C)
542207,233431,s0m,1034,7,0,0,0,1,0,0,0,0,60,0,1,Group Stage:  Opening (C)
542207,233431,mada,1034,2,0,1,0,0,0,0,0,0,35,2,0,Group Stage:  Opening (C)
542207,233431,skuba,1034,3,1,1,0,1,1,0,0,0,68,0,1,Group Stage:  Opening (C)
542207,233431,Ethan,1034,2,1,1,0,1,0,0,0,0,60,2,1,Group Stage:  Opening (C)
542207,233431,nobody,1120,3,0,0,0,1,0,0,0,0,49,4,2,Group Stage:  Opening (C)
542207,233431,ZmjjKK,1120,6,2,0,0,0,0,0,0,0,66,1,0,Group Stage:  Opening (C)
542207,233431,Smoggy,1120,6,2,0,0,0,0,0,0,0,54,3,0,Group Stage:  Opening (C)
542207,233431,CHICHOO,1120,2,0,0,0,0,0,0,0,0,46,2,0,Group Stage:  Opening (C)
542207,233431,Jieni7,1120,1,0,0,0,0,0,0,0,0,31,0,0,Group Stage:  Opening (C)
542205,233427,paTiTek,474,1,1,0,0,0,0,0,0,0,50,0,1,Group Stage:  Opening (C)
542205,233427,nAts,474,0,0,0,0,0,0,0,0,0,18,1,0,Group Stage:  Opening (C)
542205,233427,trexx,474,2,2,0,0,0,0,0,0,0,47,4,1,Group Stage:  Opening (C)
542205,233427,keiko,474,4,1,0,0,1,0,0,0,0,54,0,1,Group Stage:  Opening (C)
542205,233427,kamo,474,2,2,0,0,0,0,0,0,0,71,0,1,Group Stage:  Opening (C)
542205,233427,free1ng,8185,2,0,0,0,0,0,0,0,0,44,0,0,Group Stage:  Opening (C)
542205,233427,MaKo,8185,5,1,0,0,0,1,0,0,0,74,3,1,Group Stage:  Opening (C)
542205,233427,BeYN,8185,1,0,0,0,1,0,0,0,0,41,4,0,Group Stage:  Opening (C)
542205,233427,HYUNMIN,8185,3,0,0,0,0,0,0,0,0,39,2,2,Group Stage:  Opening (C)
542205,233427,Flashback,8185,5,2,0,0,0,0,0,0,0,55,1,0,Group Stage:  Opening (C)
542205,233428,paTiTek,474,3,0,0,0,1,0,0,0,0,38,0,1,Group Stage:  Opening (C)
542205,233428,nAts,474,1,2,0,0,0,0,0,0,0,59,0,1,Group Stage:  Opening (C)
542205,233428,trexx,474,0,1,0,0,0,0,0,0,0,31,4,0,Group Stage:  Opening (C)
542205,233428,keiko,474,2,0,1,0,0,1,0,0,0,48,1,1,Group Stage:  Opening (C)
542205,233428,kamo,474,2,2,0,0,0,0,0,0,0,42,1,0,Group Stage:  Opening (C)
542205,233428,free1ng,8185,1,1,0,0,0,0,0,0,0,44,0,0,Group Stage:  Opening (C)
542205,233428,MaKo,8185,2,2,0,0,0,1,0,0,0,61,5,2,Group Stage:  Opening (C)
542205,233428,BeYN,8185,2,1,1,0,0,0,0,0,0,59,4,0,Group Stage:  Opening (C)
542205,233428,HYUNMIN,8185,2,1,0,0,0,0,0,0,0,48,0,0,Group Stage:  Opening (C)
542205,233428,Flashback,8185,1,2,0,0,0,0,0,0,0,47,0,0,Group Stage:  Opening (C)
542212,233445,Flex1n,11981,2,0,0,0,0,0,0,0,0,26,2,0,Group Stage:  Opening (D)
542212,233445,Nicc,11981,5,2,0,0,0,0,0,0,0,51,6,1,Group Stage:  Opening (D)
542212,233445,Demon1,11981,6,0,0,0,1,0,0,0,0,49,3,2,Group Stage:  Opening (D)
542212,233445,SpiritZ1,11981,6,1,0,0,0,0,0,0,0,65,0,0,Group Stage:  Opening (D)
542212,233445,Akeman,11981,4,1,0,0,0,0,0,0,0,33,0,0,Group Stage:  Opening (D)
542212,233445,stax,14,2,1,0,0,0,0,0,0,0,40,7,0,Group Stage:  Opening (D)
542212,233445,BuZz,14,6,0,0,0,1,0,0,0,0,50,1,1,Group Stage:  Opening (D)
542212,233445,Meteor,14,4,0,0,0,2,0,0,0,0,40,1,0,Group Stage:  Opening (D)
542212,233445,iZu,14,6,0,0,0,0,0,0,0,0,41,1,1,Group Stage:  Opening (D)
542212,233445,DH,14,5,2,1,0,1,2,0,0,0,59,2,1,Group Stage:  Opening (D)
542212,233446,Flex1n,11981,3,1,0,0,0,0,0,0,0,47,4,0,Group Stage:  Opening (D)
542212,233446,Nicc,11981,4,1,0,0,0,0,0,0,0,46,4,2,Group Stage:  Opening (D)
542212,233446,Demon1,11981,3,1,0,0,0,0,0,0,0,40,0,0,Group Stage:  Opening (D)
542212,233446,SpiritZ1,11981,2,2,1,0,0,0,0,0,0,48,0,2,Group Stage:  Opening (D)
542212,233446,Akeman,11981,4,0,1,0,1,1,0,0,0,42,0,1,Group Stage:  Opening (D)
542212,233446,stax,14,3,0,0,0,0,0,0,0,0,38,6,1,Group Stage:  Opening (D)
542212,233446,BuZz,14,5,4,0,0,2,0,0,0,0,54,0,0,Group Stage:  Opening (D)
542212,233446,Meteor,14,3,3,1,0,0,0,0,0,0,54,2,0,Group Stage:  Opening (D)
542212,233446,iZu,14,4,0,0,0,2,0,0,0,0,30,2,1,Group Stage:  Opening (D)
542212,233446,DH,14,3,1,0,0,1,0,0,0,0,33,1,0,Group Stage:  Opening (D)
542211,233442,valyn,11058,4,1,0,0,0,0,0,0,0,54,1,0,Group Stage:  Opening (D)
542211,233442,jawgemo,11058,1,0,0,0,0,0,0,0,0,41,0,2,Group Stage:  Opening (D)
542211,233442,JonahP,11058,4,0,0,0,0,0,0,0,0,29,0,0,Group Stage:  Opening (D)
542211,233442,leaf,11058,2,2,0,0,0,0,0,0,0,54,0,1,Group Stage:  Opening (D)
542211,233442,trent,11058,0,2,0,0,0,0,0,0,0,41,2,0,Group Stage:  Opening (D)
542211,233442,Boo,1001,0,0,0,0,0,0,0,0,0,37,2,0,Group Stage:  Opening (D)
542211,233442,RieNs,1001,4,1,0,1,0,0,0,0,0,64,1,0,Group Stage:  Opening (D)
542211,233442,MiniBoo,1001,3,2,1,0,0,0,0,0,0,57,1,0,Group Stage:  Opening (D)
542211,233442,Wo0t,1001,0,0,0,0,0,0,0,0,0,27,0,0,Group Stage:  Opening (D)
542211,233442,benjyfishy,1001,4,0,2,0,1,0,0,0,0,82,3,1,Group Stage:  Opening (D)
542211,233443,valyn,11058,5,0,1,0,0,0,0,0,0,68,2,0,Group Stage:  Opening (D)
542211,233443,jawgemo,11058,4,1,0,0,1,0,0,0,0,34,1,1,Group Stage:  Opening (D)
542211,233443,JonahP,11058,2,0,0,0,0,0,0,0,0,32,0,2,Group Stage:  Opening (D)
542211,233443,leaf,11058,4,1,0,0,0,0,1,0,0,61,0,0,Group Stage:  Opening (D)
542211,233443,trent,11058,4,0,0,0,0,0,0,0,0,41,5,1,Group Stage:  Opening (D)
542211,233443,Boo,1001,2,1,0,0,1,0,0,0,0,47,0,1,Group Stage:  Opening (D)
542211,233443,RieNs,1001,5,1,0,0,0,1,0,0,0,57,6,1,Group Stage:  Opening (D)
542211,233443,MiniBoo,1001,5,0,0,0,0,0,0,0,0,60,1,1,Group Stage:  Opening (D)
542211,233443,Wo0t,1001,5,2,0,0,0,0,0,0,0,72,0,2,Group Stage:  Opening (D)
542211,233443,benjyfishy,1001,3,0,0,0,1,0,0,0,0,50,2,0,Group Stage:  Opening (D)
542200,233412,Knight,12010,3,0,0,0,0,0,0,0,0,64,1,0,Group Stage:  Opening (B)
542200,233412,whzy,12010,1,0,0,0,0,0,0,0,0,34,0,0,Group Stage:  Opening (B)
542200,233412,nephh,12010,0,0,0,0,0,0,0,0,0,40,0,0,Group Stage:  Opening (B)
542200,233412,Levius,12010,2,0,0,0,0,1,0,0,0,19,0,1,Group Stage:  Opening (B)
542200,233412,rushia,12010,0,0,0,0,0,0,0,0,0,32,0,0,Group Stage:  Opening (B)
542200,233412,cortezia,7386,3,0,0,0,1,0,0,0,0,70,2,1,Group Stage:  Opening (B)
542200,233412,artzin,7386,4,0,0,0,0,0,0,0,0,47,1,0,Group Stage:  Opening (B)
542200,233412,aspas,7386,0,1,1,0,0,0,0,0,0,80,0,0,Group Stage:  Opening (B)
542200,233412,xenom,7386,2,0,0,0,0,0,0,0,0,33,2,0,Group Stage:  Opening (B)
542200,233412,Verno,7386,2,0,2,0,0,1,0,0,0,93,5,0,Group Stage:  Opening (B)
542200,233413,Knight,12010,3,0,0,0,0,0,0,0,0,52,1,2,Group Stage:  Opening (B)
542200,233413,whzy,12010,1,0,1,0,0,0,0,0,0,34,0,0,Group Stage:  Opening (B)
542200,233413,nephh,12010,2,1,0,0,0,0,0,0,0,52,3,1,Group Stage:  Opening (B)
542200,233413,Levius,12010,3,1,0,0,0,0,0,0,0,57,0,0,Group Stage:  Opening (B)
542200,233413,rushia,12010,3,0,0,0,0,0,0,0,0,40,0,1,Group Stage:  Opening (B)
542200,233413,cortezia,7386,2,2,0,0,0,0,0,0,0,53,1,0,Group Stage:  Opening (B)
542200,233413,artzin,7386,3,1,0,0,0,0,0,0,0,58,2,0,Group Stage:  Opening (B)
542200,233413,aspas,7386,6,0,0,1,0,0,0,0,0,63,0,1,Group Stage:  Opening (B)
542200,233413,xenom,7386,1,1,0,0,0,0,0,0,0,35,2,0,Group Stage:  Opening (B)
542200,233413,Verno,7386,6,0,0,0,0,0,0,0,0,56,4,1,Group Stage:  Opening (B)
542201,233415,crazyguy,878,1,0,0,0,0,0,0,0,0,36,1,0,Group Stage:  Opening (B)
542201,233415,Kushy,878,3,0,0,1,0,1,0,0,0,72,3,1,Group Stage:  Opening (B)
542201,233415,xffero,878,3,0,1,0,0,1,0,0,0,49,0,1,Group Stage:  Opening (B)
542201,233415,Monyet,878,1,0,0,0,0,0,0,0,0,28,3,0,Group Stage:  Opening (B)
542201,233415,Jemkin,878,1,3,0,0,0,0,0,0,0,53,0,0,Group Stage:  Opening (B)
542201,233415,crashies,2593,3,1,0,0,0,1,0,0,0,55,3,1,Group Stage:  Opening (B)
542201,233415,Boaster,2593,2,0,0,0,0,0,0,0,0,36,3,1,Group Stage:  Opening (B)
542201,233415,Chronicle,2593,3,2,1,1,0,0,0,0,0,104,1,1,Group Stage:  Opening (B)
542201,233415,kaajak,2593,0,0,0,0,0,0,0,0,0,35,1,0,Group Stage:  Opening (B)
542201,233415,Alfajer,2593,5,1,0,0,0,0,0,0,0,52,1,0,Group Stage:  Opening (B)
542201,233416,crazyguy,878,3,0,0,0,2,0,0,0,0,54,3,0,Group Stage:  Opening (B)
542201,233416,Kushy,878,4,0,1,0,0,0,0,0,0,61,4,0,Group Stage:  Opening (B)
542201,233416,xffero,878,0,0,0,0,0,0,0,0,0,23,2,0,Group Stage:  Opening (B)
542201,233416,Monyet,878,4,0,0,0,0,0,0,0,0,30,3,0,Group Stage:  Opening (B)
542201,233416,Jemkin,878,2,0,0,0,0,0,0,0,0,36,0,0,Group Stage:  Opening (B)
542201,233416,crashies,2593,1,0,0,0,0,0,0,0,0,32,2,0,Group Stage:  Opening (B)
542201,233416,Boaster,2593,6,2,1,0,1,1,0,0,0,128,2,4,Group Stage:  Opening (B)
542201,233416,Chronicle,2593,3,2,0,0,0,0,0,0,0,77,3,0,Group Stage:  Opening (B)
542201,233416,kaajak,2593,4,0,0,0,0,0,0,0,0,38,0,0,Group Stage:  Opening (B)
542201,233416,Alfajer,2593,4,1,0,0,0,0,0,0,0,66,1,1,Group Stage:  Opening (B)
542197,233403,Jinggg,624,2,0,0,0,0,0,0,0,0,43,1,0,Group Stage:  Winner's (A)
542197,233403,f0rsakeN,624,4,1,0,0,0,0,0,0,0,42,3,0,Group Stage:  Winner's (A)
542197,233403,d4v41,624,3,0,0,0,1,0,0,0,0,48,0,0,Group Stage:  Winner's (A)
542197,233403,PatMen,624,4,0,0,0,0,0,0,0,0,50,2,0,Group Stage:  Winner's (A)
542197,233403,something,624,3,0,0,1,1,0,0,0,0,47,0,2,Group Stage:  Winner's (A)
542197,233403,Cloud,14419,3,1,0,0,0,0,0,0,0,66,1,1,Group Stage:  Winner's (A)
542197,233403,grubinho,14419,1,0,0,0,0,0,0,0,0,38,0,0,Group Stage:  Winner's (A)
542197,233403,Flickless,14419,2,0,0,0,0,0,0,0,0,40,4,0,Group Stage:  Winner's (A)
542197,233403,ara,14419,6,3,0,0,0,0,0,0,0,64,1,0,Group Stage:  Winner's (A)
542197,233403,westside,14419,5,1,0,0,1,0,0,0,0,58,0,1,Group Stage:  Winner's (A)
542197,233404,Jinggg,624,2,2,0,0,0,0,0,0,0,61,1,0,Group Stage:  Winner's (A)
542197,233404,f0rsakeN,624,2,0,0,0,1,0,0,0,0,33,4,0,Group Stage:  Winner's (A)
542197,233404,d4v41,624,2,2,1,0,0,0,0,0,0,62,2,0,Group Stage:  Winner's (A)
542197,233404,PatMen,624,1,1,0,0,0,0,0,0,0,37,2,0,Group Stage:  Winner's (A)
542197,233404,something,624,4,3,0,0,0,0,0,0,0,64,0,1,Group Stage:  Winner's (A)
542197,233404,Cloud,14419,2,1,0,0,1,0,0,0,0,41,5,0,Group Stage:  Winner's (A)
542197,233404,grubinho,14419,0,0,1,0,0,0,0,0,0,46,1,0,Group Stage:  Winner's (A)
542197,233404,Flickless,14419,2,1,0,0,0,0,0,0,0,50,0,1,Group Stage:  Winner's (A)
542197,233404,ara,14419,2,1,0,0,0,0,0,0,0,37,0,1,Group Stage:  Winner's (A)
542197,233404,westside,14419,2,1,0,0,0,0,0,0,0,61,0,0,Group Stage:  Winner's (A)
542197,233405,Jinggg,624,8,1,0,0,0,0,0,0,0,70,1,0,Group Stage:  Winner's (A)
542197,233405,f0rsakeN,624,2,0,0,0,0,0,0,0,0,42,1,0,Group Stage:  Winner's (A)
542197,233405,d4v41,624,2,0,0,0,1,0,0,0,0,39,4,1,Group Stage:  Winner's (A)
542197,233405,PatMen,624,2,1,0,0,0,0,0,0,0,48,0,0,Group Stage:  Winner's (A)
542197,233405,something,624,5,1,1,0,0,0,0,0,0,69,2,1,Group Stage:  Winner's (A)
542197,233405,Cloud,14419,0,1,0,0,0,0,0,0,0,50,2,0,Group Stage:  Winner's (A)
542197,233405,grubinho,14419,3,1,0,0,1,0,0,0,0,51,0,1,Group Stage:  Winner's (A)
542197,233405,Flickless,14419,3,1,0,0,0,0,0,0,0,55,1,0,Group Stage:  Winner's (A)
542197,233405,ara,14419,1,0,1,0,0,0,0,1,0,45,0,0,Group Stage:  Winner's (A)
542197,233405,westside,14419,0,1,0,0,0,0,0,0,0,45,0,0,Group Stage:  Winner's (A)
542208,233433,free1ng,8185,4,0,0,0,1,0,0,0,0,47,1,0,Group Stage:  Winner's (C)
542208,233433,MaKo,8185,2,0,0,0,0,0,0,0,0,31,3,0,Group Stage:  Winner's (C)
542208,233433,BeYN,8185,2,1,0,0,1,0,0,0,0,42,6,0,Group Stage:  Winner's (C)
542208,233433,HYUNMIN,8185,4,1,0,0,0,0,0,0,0,54,0,1,Group Stage:  Winner's (C)
542208,233433,Flashback,8185,6,0,0,0,0,1,0,0,0,64,0,0,Group Stage:  Winner's (C)
542208,233433,brawk,1034,0,0,0,0,0,0,0,0,0,48,0,1,Group Stage:  Winner's (C)
542208,233433,s0m,1034,1,1,0,0,0,0,0,0,0,34,0,0,Group Stage:  Winner's (C)
542208,233433,mada,1034,1,2,1,0,0,0,0,0,0,64,0,0,Group Stage:  Winner's (C)
542208,233433,skuba,1034,3,2,0,0,0,0,0,0,0,52,0,1,Group Stage:  Winner's (C)
542208,233433,Ethan,1034,1,0,0,0,0,0,0,0,0,33,1,0,Group Stage:  Winner's (C)
542208,233434,free1ng,8185,2,0,0,0,1,0,0,0,0,54,0,1,Group Stage:  Winner's (C)
542208,233434,MaKo,8185,0,1,0,0,0,0,0,0,0,37,2,0,Group Stage:  Winner's (C)
542208,233434,BeYN,8185,3,1,0,0,0,0,0,0,0,51,4,0,Group Stage:  Winner's (C)
542208,233434,HYUNMIN,8185,4,0,0,0,0,0,0,0,0,46,2,0,Group Stage:  Winner's (C)
542208,233434,Flashback,8185,8,2,0,0,0,0,0,0,0,62,0,0,Group Stage:  Winner's (C)
542208,233434,brawk,1034,2,0,0,0,0,0,0,0,0,53,2,1,Group Stage:  Winner's (C)
542208,233434,s0m,1034,2,3,0,0,0,0,0,0,0,49,2,0,Group Stage:  Winner's (C)
542208,233434,mada,1034,4,1,0,1,0,0,0,0,0,55,1,0,Group Stage:  Winner's (C)
542208,233434,skuba,1034,6,0,0,0,0,0,0,0,0,54,1,0,Group Stage:  Winner's (C)
542208,233434,Ethan,1034,1,0,1,0,0,0,0,0,0,28,3,0,Group Stage:  Winner's (C)
542208,233435,free1ng,8185,1,0,0,0,0,0,0,0,0,32,1,1,Group Stage:  Winner's (C)
542208,233435,MaKo,8185,1,0,0,0,2,0,0,0,0,30,1,1,Group Stage:  Winner's (C)
542208,233435,BeYN,8185,2,1,2,0,0,1,0,1,0,69,6,0,Group Stage:  Winner's (C)
542208,233435,HYUNMIN,8185,3,1,0,0,0,0,0,0,0,49,3,0,Group Stage:  Winner's (C)
542208,233435,Flashback,8185,5,2,0,0,0,0,0,0,0,65,1,0,Group Stage:  Winner's (C)
542208,233435,brawk,1034,6,3,0,0,0,0,0,0,0,80,0,2,Group Stage:  Winner's (C)
542208,233435,s0m,1034,3,0,0,0,0,0,0,0,0,41,0,0,Group Stage:  Winner's (C)
542208,233435,mada,1034,4,1,0,0,0,0,0,0,0,50,0,0,Group Stage:  Winner's (C)
542208,233435,skuba,1034,1,0,0,0,0,0,0,0,0,32,2,0,Group Stage:  Winner's (C)
542208,233435,Ethan,1034,2,0,0,0,0,0,0,0,0,42,7,2,Group Stage:  Winner's (C)
542213,233448,Boo,1001,1,0,0,0,1,0,0,0,0,33,0,2,Group Stage:  Winner's (D)
